"id","tournament_title","tournament_link","tournament_year","tournament_start_date","last_update"
166,ATP Masters 1000 Madrid,/en/scores/archive/madrid/1536/2017/draws?matchtype=singles,2017,2017-05-07 00:00:00,2020-09-29 11:18:00
167,ATP Masters 1000 Rome,/en/scores/archive/rome/416/2017/draws?matchtype=singles,2017,2017-05-14 00:00:00,2020-09-29 11:18:03
168,Geneva,/en/scores/archive/geneva/322/2017/draws?matchtype=singles,2017,2017-05-21 00:00:00,2020-09-29 11:18:05
169,Lyon,/en/scores/archive/lyon/7694/2017/draws?matchtype=singles,2017,2017-05-21 00:00:00,2020-09-29 11:18:06
170,Roland Garros,/en/scores/archive/roland-garros/520/2017/draws?matchtype=singles,2017,2017-05-28 00:00:00,2020-09-29 11:18:11
171,Stuttgart,/en/scores/archive/stuttgart/321/2017/draws?matchtype=singles,2017,2017-06-12 00:00:00,2020-09-29 11:18:13
172,s-Hertogenbosch,/en/scores/archive/s-hertogenbosch/440/2017/draws?matchtype=singles,2017,2017-06-12 00:00:00,2020-09-29 11:18:15
173,Halle,/en/scores/archive/halle/500/2017/draws?matchtype=singles,2017,2017-06-19 00:00:00,2020-09-29 11:18:17
175,Antalya,/en/scores/archive/antalya/7650/2017/draws?matchtype=singles,2017,2017-06-25 00:00:00,2020-09-29 11:18:21
176,Eastbourne,/en/scores/archive/eastbourne/741/2017/draws?matchtype=singles,2017,2017-06-26 00:00:00,2020-09-29 11:18:22
177,Wimbledon,/en/scores/archive/wimbledon/540/2017/draws?matchtype=singles,2017,2017-07-03 00:00:00,2020-09-29 11:18:28
178,Newport,/en/scores/archive/newport/315/2017/draws?matchtype=singles,2017,2017-07-17 00:00:00,2020-09-29 11:18:29
179,Bastad,/en/scores/archive/bastad/316/2017/draws?matchtype=singles,2017,2017-07-17 00:00:00,2020-09-29 11:18:31
180,Umag,/en/scores/archive/umag/439/2017/draws?matchtype=singles,2017,2017-07-17 00:00:00,2020-09-29 11:18:33
181,Hamburg,/en/scores/archive/hamburg/414/2017/draws?matchtype=singles,2017,2017-07-24 00:00:00,2020-09-29 11:18:35
182,Atlanta,/en/scores/archive/atlanta/6116/2017/draws?matchtype=singles,2017,2017-07-24 00:00:00,2020-09-29 11:18:37
183,Gstaad,/en/scores/archive/gstaad/314/2017/draws?matchtype=singles,2017,2017-07-24 00:00:00,2020-09-29 11:18:39
184,Washington,/en/scores/archive/washington/418/2017/draws?matchtype=singles,2017,2017-07-31 00:00:00,2020-09-29 11:18:42
