"id","tournament_id","player1_id","player2_id","round_num","winner_id"
164,7,110,68,1,110
165,7,12,44,1,44
166,7,70,82,1,70
167,7,147,103,1,103
168,7,27,148,1,27
169,7,21,101,1,101
170,7,86,71,1,86
171,7,149,61,1,61
172,7,150,46,1,150
173,7,50,53,1,50
174,7,37,151,1,37
175,7,152,69,1,69
176,7,89,109,1,89
177,7,97,31,1,31
178,7,10,87,1,10
179,7,48,47,1,47
180,7,153,77,1,153
181,7,7,3,1,3
182,7,63,84,1,84
183,7,154,24,1,154
184,7,95,155,1,95
185,7,29,156,1,29
186,7,39,157,1,39
187,7,75,32,1,32
188,7,158,159,1,158
189,7,5,107,1,107
190,7,78,67,1,67
191,7,45,25,1,25
192,7,16,43,1,16
193,7,160,57,1,57
194,7,56,58,1,56
195,7,30,9,1,9
196,7,90,15,1,90
197,7,161,76,1,161
198,7,162,92,1,162
199,7,163,8,1,8
200,7,164,2,1,164
201,7,100,59,1,59
202,7,165,166,1,166
203,7,66,167,1,167
204,7,62,20,1,62
205,7,96,79,1,96
206,7,168,38,1,38
207,7,6,106,1,6
208,7,55,169,1,55
209,7,108,19,1,108
210,7,170,171,1,171
211,7,98,99,1,98
212,7,54,28,1,28
213,7,14,11,1,11
214,7,172,60,1,60
215,7,173,94,1,94
216,7,40,88,1,40
217,7,174,175,1,175
218,7,91,51,1,91
219,7,42,176,1,176
220,7,1,36,2,1
221,7,33,102,2,102
222,7,17,4,2,17
223,7,49,41,2,41
224,7,110,44,2,110
225,7,70,103,2,103
226,7,27,101,2,101
227,7,86,61,2,61
228,7,150,50,2,150
229,7,37,69,2,37
230,7,89,31,2,31
231,7,10,47,2,47
232,7,153,3,2,153
233,7,84,154,2,154
234,7,95,29,2,95
235,7,39,32,2,39
236,7,158,107,2,158
237,7,67,25,2,25
238,7,16,57,2,16
239,7,56,9,2,9
240,7,90,161,2,90
241,7,162,8,2,8
242,7,164,59,2,59
243,7,166,167,2,167
244,7,62,96,2,96
245,7,38,6,2,6
246,7,55,108,2,55
247,7,171,98,2,171
248,7,28,11,2,28
